"platform_name","avg_revenue_per_stream"
"Ward-Smith Music 3208","0.01499"
"Taylor, Peterson and Weeks Music 8802","0.01498"
"Holland, Rivers and Martin Music 1537","0.01498"
"Davis, Meyers and Scott Music 8388","0.01497"
"Williamson, Robinson and Lloyd Music 6527","0.01497"
"Hunter-Rhodes Music 6392","0.01496"
"Guerra Group Music 4167","0.01496"
"Collins-Wong Music 9993","0.01495"
"Gray-Sanchez Music 9513","0.01495"
"Nicholson, Greer and Myers Music 2912","0.01494"
"Jones PLC Music 5261","0.01494"
"Burke Ltd Music 3196","0.01493"
"Wilson-Williams Music 9652","0.01491"
"Luna Group Music 3217","0.01490"
"Roberts and Sons Music 5208","0.01489"
"Pratt PLC Music 4207","0.01489"
"Park-Payne Music 6966","0.01487"
"Wu-Ball Music 5175","0.01487"
"Benitez, Carpenter and Barnes Music 7620","0.01486"
"Parsons LLC Music 8901","0.01486"
"Stokes, Russell and Wang Music 7289","0.01486"
"Ferrell Group Music 7063","0.01485"
"Pennington Group Music 8881","0.01484"
"Murray-Conway Music 4212","0.01483"
"Knapp PLC Music 8074","0.01483"
"Brock-Green Music 4604","0.01483"
"Lopez-Martinez Music 3034","0.01483"
"Watts-Porter Music 6719","0.01482"
"Fletcher PLC Music 3785","0.01482"
"Baker, Thomas and Hale Music 3980","0.01481"
"Park-Stone Music 8272","0.01481"
"Thomas-Esparza Music 3358","0.01480"
"Lee and Sons Music 5662","0.01480"
"Thomas-Acosta Music 5311","0.01479"
"Wilson, Mclaughlin and Jenkins Music 5552","0.01479"
"Valenzuela-Arroyo Music 8884","0.01479"
"Baird PLC Music 3173","0.01479"
"Harper, Jones and Hill Music 7557","0.01479"
"Andrews, Miles and Richards Music 1708","0.01478"
"Arnold-Montoya Music 8752","0.01477"
"Macdonald PLC Music 5897","0.01477"
"Mitchell, Gregory and Williams Music 6549","0.01476"
"Roy LLC Music 1527","0.01476"
"Ramirez-Smith Music 2753","0.01475"
"Ramirez LLC Music 1840","0.01474"
"Peters-Mccarthy Music 7171","0.01473"
"Moody, Mcbride and Ward Music 9292","0.01473"
"Gonzalez-Payne Music 9221","0.01472"
"Mullins-Thompson Music 7966","0.01471"
"Sullivan and Sons Music 3552","0.01470"
"Thomas PLC Music 7413","0.01469"
"Davis Group Music 8492","0.01467"
"Gray-Castaneda Music 5127","0.01467"
"Phelps, Fuller and King Music 8719","0.01466"
"Rivas, Mays and Morgan Music 2342","0.01466"
"Fox, Hess and Ross Music 2029","0.01466"
"Miller-Rodriguez Music 5575","0.01466"
"Johnston, Garcia and Johnson Music 4095","0.01466"
"Bruce LLC Music 2932","0.01465"
"Kennedy, James and Peterson Music 9328","0.01465"
"Black Group Music 5486","0.01465"
"Kane LLC Music 5145","0.01464"
"White Group Music 5887","0.01464"
"Black-Horn Music 5965","0.01464"
"Richards and Sons Music 5094","0.01464"
"Spencer PLC Music 3598","0.01464"
"Weeks-Conner Music 8061","0.01462"
"Chen-Fowler Music 6596","0.01461"
"Nelson Inc Music 5274","0.01459"
"Murphy-Boyle Music 8765","0.01458"
"Baker, Bullock and Armstrong Music 7078","0.01458"
"Knight, Savage and Crane Music 8734","0.01457"
"Ross and Sons Music 7417","0.01457"
"Mack PLC Music 6806","0.01457"
"Gilbert and Sons Music 5636","0.01457"
"Lin, Tucker and Howard Music 3842","0.01455"
"Morris-Davis Music 8894","0.01454"
"Randall, Mejia and Hill Music 8158","0.01453"
