"platform_name","total_revenue"
"Duran LLC Music 8855","484762.63"
"Morales-Curtis Music 3078","479102.57"
"Washington PLC Music 4607","477303.08"
"Sullivan PLC Music 8539","439496.36"
"Kelley-Smith Music 9365","424649.14"
"Turner-Snyder Music 3457","401607.97"
"Cunningham, Reynolds and Long Music 1894","390608.53"
"Hughes Group Music 9108","385626.98"
"Hall PLC Music 8592","379337.47"
"Jones-Jackson Music 5398","375614.22"
"Hall, Taylor and Morgan Music 8376","374268.48"
"Bryant Ltd Music 9600","372674.10"
"Rios-Graham Music 4149","357593.99"
"Cook LLC Music 2779","354999.78"
"Dixon, Graham and Owens Music 7110","354716.21"
"Romero Group Music 1544","352041.86"
"Dickson PLC Music 5322","350685.47"
"Cannon, Williams and Maldonado Music 8043","346372.82"
"Edwards Ltd Music 2464","344705.51"
"Collins, Schneider and Hill Music 7601","344583.82"
"Cannon-Hughes Music 5156","341735.50"
"Mccoy, Gonzales and Williams Music 1412","339935.90"
"Burke Group Music 1204","330524.45"
"Holder-Sanders Music 2424","329847.71"
"Smith Ltd Music 7919","324064.93"
"Beck Ltd Music 1965","322640.05"
"Salazar, Vasquez and Cunningham Music 3748","322079.30"
"Cooper, Ferguson and Lopez Music 4542","319962.09"
"Drake-Rice Music 4544","318911.32"
"Coleman, Johnson and Robinson Music 2444","318712.50"
"Anderson LLC Music 2183","316083.27"
"Bray PLC Music 7960","312687.80"
"Gross-Joseph Music 9530","311690.94"
"Wilson-Beasley Music 5382","310657.97"
"Edwards, Johnson and Owens Music 8981","309672.78"
"Watts-Taylor Music 3773","309257.06"
"Jackson and Sons Music 5792","309126.04"
"Johnson PLC Music 6583","307295.92"
"Rodriguez Inc Music 2653","305862.88"
"Huffman, Graham and Blankenship Music 4387","305478.95"
"Reynolds-Flores Music 7257","304924.89"
"Day-Leonard Music 1970","303028.59"
"Duran, Elliott and Johnson Music 5867","302241.25"
"Johnson Inc Music 1855","301096.31"
"Henderson, Howard and Jordan Music 3924","299209.42"
"Clements-Rowe Music 9746","297092.98"
"Chase, Lamb and Johnson Music 2106","294772.53"
"Myers-Wiley Music 2688","293178.38"
"Garcia LLC Music 1101","292035.27"
"Pace Ltd Music 5460","291850.39"
"Jones and Sons Music 1298","291536.84"
"Adams-Schmidt Music 3692","291466.50"
"Smith, Gates and Harvey Music 9931","291054.28"
"Hunter-Harmon Music 9853","290131.77"
"Manning-Davis Music 9774","288787.73"
"Kelly, Hunter and Alvarado Music 7550","287980.99"
"Jimenez Inc Music 9433","287242.79"
"Williams, Gonzalez and Parks Music 6260","287145.19"
"Lawrence Ltd Music 7028","286877.25"
"Garcia-Williams Music 5742","286250.57"
"Snow, Turner and Flynn Music 5573","285609.64"
"Sullivan, Cook and Reeves Music 3712","283846.49"
"Shelton Ltd Music 4725","283840.82"
"Diaz, Dean and Mora Music 5968","283200.89"
"Woods Ltd Music 7758","281178.64"
"Fuller-Butler Music 2972","280936.45"
"Peterson, Castro and Jordan Music 6287","280357.11"
"Pena-Wright Music 5564","280342.33"
"Garcia and Sons Music 8143","280135.25"
"Marsh, Poole and Garcia Music 6241","278262.33"
"Coleman-Mcclure Music 4593","277791.97"
"Frye, Jennings and Lee Music 3042","276374.06"
"Jimenez PLC Music 6134","276096.71"
"Martin, Wallace and Graves Music 6705","275730.97"
"Ingram-Mitchell Music 3277","275124.11"
"Brown Group Music 9585","274910.31"
"Crawford, Sawyer and Horton Music 7590","274734.64"
"Ruiz LLC Music 8798","272751.69"
"Taylor LLC Music 9277","271971.55"
"Alexander, Daniels and Browning Music 2343","271852.30"
"Reese-Hester Music 3850","271612.18"
"Singh, Reyes and Bennett Music 2166","269702.47"
"Sandoval, Barker and Smith Music 4883","269366.89"
"Kerr Ltd Music 4903","268322.66"
"Shepard, Strickland and Watkins Music 1500","268193.78"
"Wells-Ali Music 5565","266472.81"
"Dodson LLC Music 1201","265993.20"
"Robinson Ltd Music 4803","264747.65"
"Waller, Schneider and Rodriguez Music 9392","264707.50"
"Rush, Leon and Moreno Music 5594","263951.92"
"Burns Group Music 5699","263249.68"
"Miranda-Jackson Music 4047","262199.18"
"Shelton-Lewis Music 8804","260175.21"
"Wu-Ball Music 5175","259099.72"
"Brady, Snyder and Hernandez Music 8766","258726.97"
"Hunt PLC Music 6071","258628.71"
"Small and Sons Music 3282","257440.65"
"Murphy, Daniels and Padilla Music 3258","256121.72"
"Holland, Conner and Murray Music 9760","255733.11"
"Thomas and Sons Music 5824","255091.96"
"Swanson-Turner Music 1855","255082.72"
"York, Taylor and Jones Music 8062","254597.51"
"Brown-Payne Music 9555","254119.29"
"Edwards Group Music 8698","253205.21"
"Gould, Brown and Austin Music 2453","252612.98"
"Cantrell, Collins and Chase Music 5653","251940.02"
"Schwartz and Sons Music 9167","251761.50"
"Jones Ltd Music 6714","251583.11"
"Cunningham-Steele Music 5111","251519.07"
"Mack, Thomas and Bryant Music 2431","251364.42"
"Hamilton-Thomas Music 1196","250911.92"
"Gilmore Group Music 9974","250741.63"
"Lane, Irwin and Freeman Music 9307","250362.48"
"Kim-Sandoval Music 1003","249575.77"
"Mann, Stone and Bell Music 6117","249354.19"
"Bowen, Hines and Bradford Music 8148","249215.44"
"Lin, Tucker and Howard Music 3842","248933.17"
"Hernandez-Palmer Music 2531","248892.59"
"Davenport-Abbott Music 5607","247224.56"
"Watts and Sons Music 9066","246532.56"
"Christensen, Foster and Lane Music 7833","246236.05"
"Castaneda, James and Weaver Music 4268","244869.94"
"Davis-Tran Music 1580","244474.57"
"Mcclain-Shaw Music 8966","244121.66"
"Nicholson, Martin and Robertson Music 4977","243987.43"
"Lewis-Bell Music 6009","243889.22"
"Evans Group Music 4400","243597.31"
"Ward-Jones Music 4780","243584.54"
"Bean, Armstrong and Rodriguez Music 7797","242662.47"
"Potter Group Music 7395","242443.79"
"Kennedy, James and Peterson Music 9328","242214.75"
"Ward, Simon and Miller Music 2005","241996.59"
"Haynes and Sons Music 1486","241316.38"
"Costa-Mcfarland Music 1173","241193.00"
"Holmes-Patel Music 8531","240501.95"
"Roy LLC Music 1527","240399.15"
"Butler-Brown Music 4376","240155.71"
"Alexander-Diaz Music 4659","239658.45"
"Peterson PLC Music 6863","239469.45"
"Grant, Nelson and Golden Music 9925","239182.28"
"Shannon, Jones and Merritt Music 3729","238757.27"
"White Group Music 5887","237700.41"
"Medina, Walsh and Caldwell Music 6771","237556.49"
"Newman PLC Music 3181","237427.97"
"Weeks, Alexander and Velazquez Music 6555","236484.82"
"Brennan-Bentley Music 1743","236019.75"
"Jones, Myers and Terrell Music 6510","235565.64"
"Schultz-Roberts Music 3673","235492.68"
"Ferrell-Smith Music 5873","235015.68"
"Weaver Inc Music 5535","234163.68"
"Clark Inc Music 5051","233693.15"
"Adams Inc Music 6312","232934.50"
"Hernandez-James Music 4994","232842.86"
"Fisher Inc Music 8480","230505.00"
"Cruz-Parker Music 1512","230396.16"
"Barnett-Carter Music 7221","230254.27"
"Franklin, Rogers and Poole Music 2214","229866.30"
"Campbell PLC Music 6685","228931.53"
"Carey Inc Music 4664","228909.27"
"Velez-Parks Music 3593","228908.87"
"Burns-Long Music 9234","228455.75"
"Blackburn-Douglas Music 4793","228189.53"
"Medina and Sons Music 3985","227965.21"
"Stevens, Poole and Saunders Music 1596","227532.75"
"Reeves, Martinez and Frazier Music 3605","227271.82"
"Wilson-Summers Music 3659","226815.68"
"Jackson-Nelson Music 8074","226783.72"
"Cordova LLC Music 2484","226435.96"
"Hines, Bautista and Garcia Music 2445","225627.11"
"Howell-Olson Music 4787","225570.16"
"Horn and Sons Music 2912","224777.10"
"Stafford-Brown Music 3851","224737.19"
"Fox, Perez and Alvarez Music 7597","222645.21"
"Allen, Stone and Stewart Music 4767","222501.38"
"Faulkner and Sons Music 8236","221851.30"
"Lewis, Mcdaniel and Salazar Music 8001","221642.14"
"James, Payne and Griffith Music 6340","220449.06"
"Sellers LLC Music 8388","220347.15"
"Holt and Sons Music 4465","220192.10"
"Gonzalez and Sons Music 1606","219819.86"
"Silva LLC Music 4584","219643.43"
"Reyes LLC Music 3074","219275.14"
"Spears, Gregory and Long Music 2316","218793.82"
"Patton Group Music 9884","218628.01"
"Wallace-Johnson Music 3527","218306.64"
"Garza-Cordova Music 7432","216994.36"
"Decker-Clayton Music 9382","216660.42"
"Davis, Gay and Knight Music 7773","215856.10"
"Knight, Savage and Crane Music 8734","215851.72"
"Jones, Rice and George Music 6822","215829.59"
"Castro-Reilly Music 4375","215075.00"
"Daniels-Wolfe Music 5844","214977.31"
"Morrison-Reyes Music 3372","214849.31"
"Moore, Higgins and Sparks Music 2574","214328.97"
"Wright, Gutierrez and Montoya Music 1701","213694.82"
"Walters LLC Music 3259","213332.13"
"Carlson-Knox Music 7916","213284.22"
"Murray-Conway Music 4212","212999.74"
"Barnes-Williams Music 5888","211484.74"
"Morris Inc Music 9633","211448.56"
"Lopez-Stephens Music 5580","211380.44"
"Williams-Goodwin Music 8600","211007.63"
"Owen-Johnson Music 2405","210895.19"
"Snyder, Hodges and York Music 2663","210837.11"
"Clayton, Hansen and Kent Music 2059","210664.31"
"Morgan-Khan Music 6166","210581.20"
"Obrien Group Music 9979","210569.92"
"Brooks-Robinson Music 1636","210155.70"
"Wright Inc Music 5005","209751.09"
"Atkins-Sandoval Music 1928","209631.58"
"Martin Group Music 5054","209499.06"
"Sanders-Wolfe Music 7307","209465.62"
"Smith-Hoffman Music 3636","209394.06"
"Morris, Richards and Cole Music 3153","209390.89"
"Blake Inc Music 3723","208897.08"
"Russell-Blackwell Music 7522","208752.09"
