"platform_name","total_streams"
"Clark LLC Music 3084","17"
"Harvey-Harvey Music 6318","16"
"Wright, Paul and Torres Music 9106","16"
"Carter-Howard Music 8597","16"
"Bowen, Melton and Huynh Music 5132","16"
"Evans-Barron Music 6305","16"
"Diaz, Martinez and Miller Music 7123","15"
"Briggs-Rice Music 5348","15"
"Holland, Garcia and James Music 7353","15"
"Esparza, Moore and Campbell Music 7533","15"
"Barry-Clayton Music 5434","15"
"Davenport PLC Music 5324","15"
"Wilkerson LLC Music 4504","14"
"Moran, Nielsen and Schultz Music 7279","14"
"Fox, Hess and Ross Music 2029","14"
"Jacobs, Montgomery and Carter Music 7172","14"
"Phelps-Leonard Music 4169","14"
"Harris, Burke and Coffey Music 4741","14"
"Padilla, Turner and Dorsey Music 6393","14"
"Johnson Inc Music 2858","14"
"Walker-Miller Music 1117","14"
"Foster PLC Music 8837","14"
"Johnston-Cross Music 8488","14"
"Thompson-Blake Music 9687","14"
"Johnson LLC Music 3591","13"
"Harris Group Music 7952","13"
"Mitchell, Hanson and Hood Music 2706","13"
"Stewart-Williams Music 5656","13"
"Meyer, Valdez and Garza Music 2690","13"
"Horton, Smith and Lee Music 7477","13"
"Martinez PLC Music 2492","13"
"Bennett, Houston and Hernandez Music 6062","13"
"Miranda-Hunt Music 9062","13"
"Nelson PLC Music 4862","13"
"Hubbard Ltd Music 1416","13"
"Jones-Pearson Music 3908","13"
"Kerr-Decker Music 8191","13"
"Fry Inc Music 6483","13"
"Ray-Andrews Music 8701","13"
"Smith-Fox Music 7269","13"
"Black, Cardenas and Solomon Music 5195","13"
"Mason-Riley Music 2995","13"
"Nguyen and Sons Music 2561","13"
"Cox-Stevenson Music 4272","13"
"Turner PLC Music 9154","13"
"Kennedy LLC Music 5333","13"
"Santiago and Sons Music 6060","13"
"Burns, Doyle and Smith Music 5386","13"
"Franco-Duncan Music 5891","13"
"Lopez-Haynes Music 6215","13"
"Sullivan and Sons Music 3552","13"
"Brock-Green Music 4604","13"
"Navarro Ltd Music 8544","13"
"Hernandez and Sons Music 2771","13"
"Simpson-Marquez Music 6757","13"
"Martinez, Simmons and Gonzales Music 3128","13"
"Shepard, Strickland and Watkins Music 1500","13"
"Cole LLC Music 5117","12"
"Hines-Alexander Music 6840","12"
"Alexander Group Music 8520","12"
"Sanchez Inc Music 7003","12"
"Ross-Duncan Music 4829","12"
"Ramirez Ltd Music 1240","12"
"Johnston, Garcia and Johnson Music 4095","12"
"Ward, Hahn and Bond Music 6546","12"
"Johnson, Madden and Garcia Music 2934","12"
"Collins-Cunningham Music 1056","12"
"Grant, Nelson and Golden Music 9925","12"
"Maldonado, Farmer and Woodward Music 5081","12"
"Townsend, Gonzalez and Cruz Music 1429","12"
"Marsh, Poole and Garcia Music 6241","12"
"Williams-Marshall Music 6357","12"
"Weiss and Sons Music 5935","12"
"Carrillo LLC Music 6766","12"
"Huff-Simpson Music 4863","12"
"Walker, Jacobs and Williams Music 3563","12"
"Jackson, Salazar and Miller Music 3277","12"
"Buckley-Camacho Music 3895","12"
"Jackson and Sons Music 2725","12"
"Washington-Evans Music 7139","12"
"Kaiser LLC Music 5408","12"
"Larson Ltd Music 7667","12"
"Morales-Johnson Music 3181","12"
"Valenzuela, Patterson and Duncan Music 5266","12"
"Brown Inc Music 9900","12"
"Johnson LLC Music 6387","12"
"Brown, Arnold and Reyes Music 8336","12"
"Crawford-Anderson Music 8181","12"
"Allen Ltd Music 8715","12"
"Dixon-Roth Music 4598","12"
"Wells and Sons Music 9757","12"
"Rush, Leon and Moreno Music 5594","12"
"Adams-Johnson Music 2302","12"
"Osborne PLC Music 9756","12"
"Wade-Friedman Music 3350","12"
"Greer-Gibbs Music 8654","12"
